Name,MIMAT
hsa-miR-28-3p,MIMAT0004502
hsa-miR-27a-5p,MIMAT0004501
hsa-miR-520b,MIMAT0002843
hsa-miR-498,MIMAT0002824
hsa-miR-512-3p,MIMAT0002823
hsa-miR-452-5p,MIMAT0001635
hsa-miR-122-3p,MIMAT0004590
hsa-miR-4271,MIMAT0016901
hsa-miR-2277-3p,MIMAT0011777
hsa-miR-2276-3p,MIMAT0011775
hsa-miR-1255a,MIMAT0005906
hsa-miR-4785,MIMAT0019949
hsa-miR-4709-5p,MIMAT0019811
hsa-miR-3065-5p,MIMAT0015066
hsa-miR-5193,MIMAT0021124
hsa-let-7c-3p,MIMAT0026472
hsa-miR-450a-1-3p,MIMAT0022700
hsa-miR-6717-5p,MIMAT0025846
hsa-miR-6716-3p,MIMAT0025845
hsa-miR-548ar-3p,MIMAT0022266
hsa-miR-548ar-5p,MIMAT0022265
hsa-miR-6829-3p,MIMAT0027559
hsa-miR-6821-3p,MIMAT0027543
hsa-miR-4485-5p,MIMAT0032116
hsa-miR-8072,MIMAT0030999
hsa-miR-518e-3p,MIMAT0002861
hsa-miR-21-5p,MIMAT0000076
hsa-miR-20a-5p,MIMAT0000075
hsa-miR-34b-3p,MIMAT0004676
hsa-miR-675-3p,MIMAT0006790
hsa-miR-1468-5p,MIMAT0006789
hsa-miR-483-5p,MIMAT0004761
hsa-miR-342-5p,MIMAT0004694
hsa-miR-4434,MIMAT0018950
hsa-miR-5699-5p,MIMAT0027103
hsa-miR-6861-3p,MIMAT0027624
hsa-miR-25-5p,MIMAT0004498
hsa-miR-523-3p,MIMAT0002840
hsa-miR-497-5p,MIMAT0002820
hsa-miR-193b-3p,MIMAT0002819
hsa-miR-486-5p,MIMAT0002177
hsa-miR-433-3p,MIMAT0001627
hsa-miR-23b-5p,MIMAT0004587
hsa-miR-181a-2-3p,MIMAT0004558
hsa-miR-29b-1-5p,MIMAT0004514
hsa-miR-101-5p,MIMAT0004513
hsa-miR-548o-3p,MIMAT0005919
hsa-miR-5189-5p,MIMAT0021120
hsa-miR-548aj-3p,MIMAT0018990
hsa-miR-6820-5p,MIMAT0027540
hsa-miR-6812-5p,MIMAT0027524
hsa-miR-6803-3p,MIMAT0027507
hsa-miR-504-3p,MIMAT0026612
hsa-miR-8052,MIMAT0030979
hsa-miR-520d-5p,MIMAT0002855
hsa-miR-192-5p,MIMAT0000222
hsa-miR-106b-3p,MIMAT0004672
hsa-miR-320d,MIMAT0006764
hsa-miR-3648,MIMAT0018068
hsa-miR-3614-5p,MIMAT0017992
hsa-miR-4307,MIMAT0016860
hsa-miR-4721,MIMAT0019835
hsa-miR-6731-3p,MIMAT0027364
hsa-miR-6731-5p,MIMAT0027363
hsa-miR-6852-5p,MIMAT0027604
hsa-miR-21-3p,MIMAT0004494
hsa-miR-526b-3p,MIMAT0002836
hsa-miR-483-3p,MIMAT0002173
hsa-miR-1246,MIMAT0005898
hsa-miR-3135b,MIMAT0018985
hsa-miR-4448,MIMAT0018967
hsa-miR-5580-3p,MIMAT0022274
hsa-miR-6802-5p,MIMAT0027504
hsa-miR-7975,MIMAT0031178
hsa-miR-517-5p,MIMAT0002851
hsa-miR-181a-5p,MIMAT0000256
hsa-miR-29b-3p,MIMAT0000100
hsa-let-7f-5p,MIMAT0000067
hsa-miR-195-3p,MIMAT0004615
hsa-miR-193a-5p,MIMAT0004614
hsa-miR-339-3p,MIMAT0004702
hsa-miR-3180-3p,MIMAT0015058
hsa-miR-4505,MIMAT0019041
hsa-miR-6858-5p,MIMAT0027616
hsa-miR-16-1-3p,MIMAT0004489
hsa-miR-515-3p,MIMAT0002827
hsa-miR-202-3p,MIMAT0002811
hsa-miR-202-5p,MIMAT0002810
hsa-miR-20b-5p,MIMAT0001413
hsa-miR-1285-3p,MIMAT0005876
hsa-miR-30c-2-3p,MIMAT0004550
hsa-miR-32-3p,MIMAT0004505
hsa-miR-718,MIMAT0012735
hsa-miR-3198,MIMAT0015083
hsa-miR-4535,MIMAT0019075
hsa-miR-210-5p,MIMAT0026475
hsa-miR-5196-5p,MIMAT0021128
hsa-miR-6800-5p,MIMAT0027500
hsa-miR-518c-3p,MIMAT0002848
hsa-miR-24-1-5p,MIMAT0000079
hsa-let-7b-5p,MIMAT0000063
hsa-miR-150-3p,MIMAT0004610
hsa-miR-548h-5p,MIMAT0005928
hsa-miR-4423-5p,MIMAT0019232
hsa-miR-4736,MIMAT0019862
hsa-miR-1908-3p,MIMAT0026916
hsa-miR-6848-5p,MIMAT0027596
hsa-miR-424-5p,MIMAT0001341
hsa-miR-375,MIMAT0000728
hsa-miR-942-5p,MIMAT0004985
hsa-miR-941,MIMAT0004984
hsa-let-7e-3p,MIMAT0004485
hsa-miR-671-5p,MIMAT0003880
hsa-miR-654-5p,MIMAT0003330
hsa-miR-762,MIMAT0010313
hsa-miR-181a-3p,MIMAT0000270
hsa-miR-1234-3p,MIMAT0005589
hsa-miR-4747-3p,MIMAT0019883
hsa-miR-4670-5p,MIMAT0019750
hsa-miR-4422,MIMAT0018935
hsa-miR-380-3p,MIMAT0000735
hsa-miR-4659b-5p,MIMAT0019733
hsa-miR-6502-5p,MIMAT0025460
hsa-miR-6789-3p,MIMAT0027479
hsa-miR-7846-3p,MIMAT0030421
hsa-miR-7641,MIMAT0029782
hsa-miR-7155-5p,MIMAT0028220
hsa-miR-200c-3p,MIMAT0000617
hsa-miR-320a,MIMAT0000510
hsa-miR-532-3p,MIMAT0004780
hsa-miR-4261,MIMAT0016890
hsa-miR-4676-3p,MIMAT0019759
hsa-miR-4728-3p,MIMAT0019850
hsa-miR-6765-3p,MIMAT0027431
hsa-miR-5787,MIMAT0023252
hsa-miR-6877-3p,MIMAT0027655
hsa-miR-937-3p,MIMAT0004980
hsa-miR-663a,MIMAT0003326
